공고번호,지역,회사명,공고제목,기술스택/분야,마감일
53934924,서울,건아정보기술(주),"서울,경기,인천지역 과속카메라 유지보수 및 설치 정규직 모집","기술지원, 유지보수, 솔루션, 인프라, 장비구축 외                    등록일 26/05/19",~ 06/18(목)
53934919,서울,삼일회계법인,[삼일회계법인] LLMOps Engineer 채용,"AI(인공지능), 회계법인 등록일 26/05/19",채용시
53934902,서울,코리아써치,미국계 산업용 방산 커넥터 전장부품 제조사 FAE 채용,"기술지원, 솔루션, 인프라, 전기설계, 전기제어 외                    등록일 26/05/19",진행예정
53722785,서울,(주)키스템프그룹,CTS기독교TV취재팀 내근기자(SNS관리/기사작성)[노량진/월252만],"교열, 뉴미디어, 방송송출, 보정/리터칭, 영상자막 외                    수정일 26/05/19",~ 05/24(일)
53934764,서울,(주)지에스아이엘,스마트 안전 장비 현장관리 · 솔루션 영업지원 담당자 채용,"유지보수, 영업지원, 솔루션기술영업, 고객관리, 지점관리자 외                    수정일 26/05/19",~ 06/12(금)
53934823,서울,(주)이큐브랩,이큐브랩 펌웨어(Firmware) 개발자,"취약점진단, 펌웨어, H/W, IoT, MCU 외                    등록일 26/05/19",~ 05/31(일)
53934819,서울,탑커리어인사이트,IT기획팀장 / ABAP개발,"정보보안, 인프라, ERP, SAP, 의약·제약 외                    등록일 26/05/19",~ 05/24(일)
53804327,서울,(주)핀크,[하나금융그룹 자회사] 경력직 수시 채용,"백엔드/서버개발, Git, Java, JPA, MariaDB 외                    수정일 26/05/13",~ 05/31(일)
53864467,서울,콘센트릭스서비스코리아(유),글로벌 SW기업 [Red Hat] Sales Development Representative,"클라우드, 아키텍쳐, Linux, SaaS, 영업관리 외                    등록일 26/05/12",~ 06/11(목)
53914282,서울,주식회사 리만코리아,(주)리만코리아 경력직 채용 (서울),"ERP, SAP, SQL, 관리회계, 법인결산 외                    수정일 26/05/19",~ 06/17(수)
53920225,서울,(주)즐거움을더하다,운영팀 매니저/프로덕트 매니저(PM) 신입 및 경력 채용,"기술지원, 유지보수, QA/테스터, 브랜드기획, 사업기획 외                    수정일 26/05/18",~ 05/31(일)
53912413,서울,콘센트릭스서비스코리아(유),[Concentrix] 글로벌 기업 Microsoft 고객지원(CS) 운영 팀장,"기술지원, 사무보조, 상담원, CX매니저, 상담품질관리 외                    수정일 26/05/18",~ 06/16(화)
53916431,서울,(주)사이냅소프트,2026년 QA 신입/경력 모집,"기술지원, QA/테스터, S/W, Windows, Linux 외                    수정일 26/05/18",~ 05/25(월)
53919710,서울,(주)판타지오,각 부문별 신입/경력 모집,"AI(인공지능), 해외시장개척, 해외영업관리, 가수, 음반기획 외                    수정일 26/05/18",~ 07/05(일)
53775165,서울,베스핀글로벌(주),[베스핀글로벌] 프로젝트 리딩 및 개발 담당자 영입,"백엔드/서버개발, AWS, Azure, Flask, GCP 외                    수정일 26/05/19",~ 05/30(토)
53748860,서울,베스핀글로벌(주),[베스핀글로벌] BD/Oracle/Cloudflare  담당자 영입,"IT컨설팅, 마케팅전략, 세일즈프로모션, 사업기획, 전략기획 외                    수정일 26/05/19",~ 05/28(목)
53920098,서울,(주)파인아트디씨지,(주)파인아트디씨지 3D 디자이너 공개채용,"3D디자인, 3DMax, 3D, 광고대행사 수정일 26/05/19",~ 06/17(수)
53934667,서울,(주)오썸피아,(주)오썸피아에서 Unity 클라이언트 개발자 모십니다,"프론트엔드, Unity, 솔루션업체 등록일 26/05/19",~ 07/18(토)
53934659,서울,(주)에스알피인포텍,신입 개발자 모집합니다,"백엔드/서버개발, 웹개발, 유지보수, 클라우드, API 외                    수정일 26/05/19",~ 06/18(목)
