공고번호,회사명,공고제목,기술스택/분야,마감일
49202276,SFA반도체㈜,2026년도 부문별 신입/경력 채용,"반도체, 반도체생산, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 연구기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 문서관리, 비품관리, 자산관리, 노사관리, 인사기획, 인사교육, 인사행정, 교육기획, 급여관리, 면접·채용, 평가·보상, 복리후생, 조직문화, 노사관리, 관리회계, 더존, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, CFO, ERP운용, 계산서발행, 기업회계, 부가세신고, 세무신고, 세무조정, 연말정산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 결산, 재무기획, IPO, 통계·분석, 재무분석, 관리회계, 원가회계, 재무회계, 기업회계, 부가세신고, 세무신고, 세무조정, 연말정산, 기업홍보, 이벤트기획, 설문조사, 시장분석, 시장조사, 네트워크관리, 방화벽, 정보보안, 회로설계, 2D설계, 디스플레이, 생산기술, 정보통신, 제품개발, 터치스크린, 회로설계, LCD, PCB, 제어·설계, LED·OLED, 신소재, 자동화라인, 자동제어, 공정개발, 자동화라인, 품질테스트, 정보통신·IT, R&D, 제조·공정, 생산관리, 품질보증, 검증, 품질보증, 환경관리, 안전평가, 위험성평가",1일 전 등록
49181543,세방그룹,2026년 2분기 신입ㆍ채용연계형 인턴ㆍ경력사원 정기 채용,"경영기획, 문서작성, 통계·분석, 자료조사, 4대보험, 급여관리, 노사관리, 인사기획, 인사교육, 인사행정, 경력관리, 노사관리, 복리후생, 인사교육, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 납품, 물류센터, 재고관리, 창고관리, 외자구매, 자재구매, 구매계약, 상품입출고, 외자구매, 자재구매, 재고관리, 기타외국어, 바이어개발, 수출입계약, 영어, 일본어, 중국어, 해외마케팅, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 데이터분석, 영업전략, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 메카트로닉스, 생산기술, 제품개발, 제어·설계, 기계조작, 전기설계, 회로설계, 유지보수, 정보통신, 통신설비, 자동제어, 공정개발, 자동화라인, 품질테스트, 임베디드, 펌웨어, 회로설계, PCB, 검증, 품질보증, 환경관리",4일 전 등록
49173000,GS건설㈜,GS건설 2026년 정규직 경력사원 채용,"건설, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, PM, 4대보험, 결산, 관리회계, 더존, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, CFO, ERP운용, 계산서발행, 기업회계, 라이센싱, 브랜딩, 시장분석, 언론홍보, 기업홍보, 이벤트기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, 네트워크관리, 방화벽, 보안관제, 정보보안, 부동산영업, 금속, 메카트로닉스, 제품개발, 플랜트, 제어·설계, 건축설계, 전기설계, 토목설계, 생명공학, 에너지, 제품개발, 생산관리, 품질보증, 검증, 품질보증, 환경관리, ISO, 건축감리, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 건축시공, 리모델링, 시공관리, 건축시공, 공조냉동, 리노베이션, 리모델링, 미장, 배관·케이블, 가설설계, 건축시공, 시공관리, 건설노무, 안전평가, 건설안전, 산업안전, 대기환경, 플랜트, 토양환경, 환경측정, 산업안전",6일 전 등록
49173244,㈜비바리퍼블리카,[토스페이먼츠] Data Engineer 하반기 합류 전형,N/A,6일 전 등록
48921028,NC,엔씨소프트 전 부문 수시 채용,"문서작성, 전산입력, 전산입력, 컴플라이언스, 저작권, 증강현실, 펌웨어, 복리후생, 전략기획, 행정, UI·UX기획, 모션그래픽, 시장조사, 영상제작, 자료조사, 특허담당, SI개발, 방화벽, 비품관리, 송무담당, 문서관리, 문서작성, 신사업기획, 서버구축, 시스템운영, 자산관리, 데이터분석, 서버관리, 오프라인마케팅, 제휴마케팅, SI개발, 사업기획, 시스템분석, 모바일디자인, 클라이언트, 문서작성, 문서작성, 통계·분석, 메타버스, 모델링, 보안관제, 시스템설계, 전략기획, 콘텐츠기획, MMORPG, 기업홍보, 브랜드기획, 디지털디자인, 정보보안, GUI, 데이터분석, 가상현실, 사내변호사, 서무, 서버관리, SNS마케팅, 공증, 문서관리, 핀테크, 경영기획, 암호화폐, 클라이언트, 콘텐츠기획, 핀테크, 경영기획, 네트워크관리, 문서관리, 소송·민사·등기, 지적재산권, 디지털마케팅, 서무, HTTP, SEO, 네트워크관리, 시장분석, 행정",04/06(월) 등록
49208090,㈜한국미스미,㈜한국미스미 ME사업부 EC개발자 채용 (정규직),"모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, BI, 데이터분석, 데이터시각화, 분석모델링, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",12시간 전 등록
49206074,동아피엠,스마트오피스시스템 설치및 유지보수 기술지원팀 모집,"네트워크관리, 네트워크관리, 임베디드, 유지보수, 임베디드, 정보통신, 유지보수",1일 전 등록
49185028,비테스코테크놀로지스코리아(유),셰플러코리아 이천사업장 (구. 비테스코테크놀로지스코리아) 5월 신입 및 경력직 채용,"전기, 경영기획, 사업기획, 데이터분석, 신사업기획, 연구기획, 전략기획, PM, PL, PO, 경영기획, 경영컨설팅, 경영기획, 문서작성, 통계·분석, 자료조사, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 거래처관리, 거래선개발관리, 거래처관리, 고객관리, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 메카트로닉스, 생산기술, 자동차, 제품개발, 제어·설계, 기계조작, 경영·경제연구, 검증, 품질보증, 환경관리, ISO",5일 전 등록
49168167,㈜한빛산업,"유압,유압시스템 설계","기계설계, 생산기술, 시스템설계, 유압기기, AutoCad, 유압, Creo, 유압시스템 설계, ㈜한빛산업, 기계설계, 유압기기, 시스템분석, 시스템설계, 메카트로닉스, 생산기술, 제품개발, 제어·설계, 3D설계, 기구설계, 2D설계, 로봇설계, 조선·항공·우주",05/13(수) 등록
49191089,이노아이㈜,SW QA 테스트엔지니어 경력직 채용,"테스터, 검증",2일 전 등록
49201657,하나펀드서비스㈜,[하나펀드서비스]직무별(펀드회계/마케팅/컴플·투자정보/주문관리) 신입 및 경력직 채용(-5/31),"고객관리, 관리회계, 기업홍보, 4대보험, 전략기획, 더존, 시장조사, 프로모션, 자산운용, SNS마케팅, 키워드광고, 위험분석·관리, 브랜딩, 시스템운영, 카페·블로그관리, 재무회계, 제휴마케팅, 매출관리, 시스템분석, 기업회계, 바이럴마케팅, 부가세신고, 키워드광고, 투자상담·자문, 계산서발행, 결산, 고객관리, 시스템설계, 콘텐츠기획, 시장분석, 브랜드기획, SNS마케팅, 데이터분석, 투자상담·자문, 서버관리, 전표입력, 채권, 위험분석·관리, 자산운용, 법인결산, 회계감사, 전산회계, 디지털마케팅, 배너광고, 시장분석, 원가회계, ERP운용",1일 전 등록
49198731,주식회사 핀크,[하나금융그룹 자회사] 경력직 수시 채용,"공증, 문서작성, 소송·민사·등기, 저작권, 지적재산권, 사내변호사, 컴플라이언스, 특허담당, 컴플라이언스, 공증, 저작권, 지적재산권, 상표담당, 특허담당, 송무담당, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 위험분석·관리, 투자상담·자문, 재무분석",2일 전 등록
49178862,랩밴티지코리아㈜,2026 상반기 각 부문별 채용,"GUI, 솔루션영업, 에너지, 펌웨어, 연구·실험·기술, 인터페이스, 데이터분석, SI개발, 솔루션, 영업기획, 메타버스, 랩밴티지코리아㈜, 해외마케팅, 브랜드기획, 암호화폐, 서버구축, 수출입계약, 시스템운영, 제안·컨설팅, 환경, 데이터분석, 서버관리, 신소재, 영업전략, 챗봇, 화학·섬유, 기술영업, 시스템영업, SI개발, 바이어개발, 사업기획, 시스템분석, 영어, 미생물, SI개발, 네트워크관리, R&D, 매출관리, 생명공학, 시스템설계, 증강현실, 인터페이스, 전략기획, 데이터분석, 서버관리, 아키텍처, 연구기획, 서버구축, 가상현실, 반응형웹, 음성인식, 클라우드아키텍트, 클라이언트, 핀테크, 경영기획, 네트워크관리, 소프트웨어개발, 핀테크, HTTP, 기술지원, 건설·교통",2일 전 등록
49208718,㈜면사랑,2026년 상반기 신입/경력 공개채용 (전역장교 및 부사관출신 우대),"식품가공, 시장분석, 시장조사, 데이터분석, 전략기획, 문서관리, 비품관리, 자산관리, 복리후생, 서무, 행정, 전산입력, 인사기획, 인사교육, 인사행정, 부가세신고, 세무신고, 세무기장, 세무조정, 연말정산, 결산, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 매출관리, 상품기획, 상품입출고, 식품MD, 매체관리, 네트워크관리, 서버구축, 시스템운영, 공업디자인, 공예디자인, 문구디자인, 패키지디자인, 팬시디자인, 공예디자인, 문구디자인, 팬시디자인, 디지털디자인, 전단지디자인, 정보디자인, 패키지디자인, 브랜드디자인, 납품, 물류센터, 재고관리, 창고관리, 거래처관리, 납품영업, 식품영업, 가맹영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 데이터분석, 영업전략, 게시판관리, 고객지원, 접수·예약, 배송상담, 온라인상담, 전화상담, 기술지원, 설치, 유지보수, 기계조작, 생산관리, 품질보증, HACCP, ISO, 검증, 품질보증, 환경관리, HACCP, ISO, 인쇄·출력, 공조냉동, 가스점검, 전기점검, 시설점검, 산업안전, 소방·방재, 환기, 건설안전, 산업안전, 상하수도, 소방·방재, 수질환경, 환경측정",11시간 전 등록
49082118,㈜삼성금거래소,[호반그룹] ㈜삼성금거래소 전산 담당자 경력 채용,"백화점, 유통, 유통관리, 판매, 홈쇼핑, 네트워크관리, 서버구축, 시스템운영, 서버관리, SI개발, 전자통신, 정보통신, 정보통신·IT",04/29(수) 등록
49185595,한솔PNS㈜ IT서비스 부문,26년 상반기 한솔PNS IT 경력 공개 채용,"네트워크관리, 창고관리, GUI, 웹표준·웹접근성, 펌웨어, 인터페이스, GUI, SI개발, 방화벽, 영업기획, PL, 메타버스, 솔루션스아키텍트, 물류센터, 암호화폐, 서버구축, 시스템분석, 시스템운영, PM, 데이터분석, 서버관리, 영업전략, 챗봇, 납품, 시스템운영, 정보보안, SI개발, 시스템분석, 재고관리, 반응형웹, SI개발, 네트워크관리, 웹마스터, 클라이언트, SI개발, 매출관리, 보안관제, 시스템설계, 증강현실, 인터페이스, 데이터분석, 머신러닝, 정보보안, 클라우드개발자, 서버관리, 아키텍처, 서버구축, 시스템설계, 가상현실, 반응형웹, 핀테크, 암호화폐, 음성인식, 클라우드아키텍트, 클라이언트, 핀테크, 네트워크관리, 핀테크, HTTP, 네트워크관리",5일 전 등록
49115172,㈜모니터랩,2026년 상반기 신입/경력 공개 채용,"네트워크보안, 방화벽, 보안소프트웨어, 보안컨설팅, 정보보안, SSL, IT컨설팅, 시장분석, 브랜드기획, 콘텐츠기획, 인사기획, 인사교육, 인사행정, 교육기획, 면접·채용, 평가·보상, 조직문화, 결산, 관리회계, 법인결산, 재무회계, 회계감사, 기업회계, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 서버구축, 시스템분석, 시스템설계, 펌웨어, 네트워크관리, 시스템운영, 네트워크관리, 방화벽, 보안관제, 정보보안, 시스템설계, 아키텍처, 검증, 테스터, GUI, 모바일디자인, UI·UX기획, 국내영업, 장비영업, 납품영업, 거래처관리, 기술영업, 기술지원, 네트워크영업, 솔루션영업, 시스템영업, 웹사이트구축영업, 거래선개발관리, 거래처관리, 영업기획, 데이터분석, 영업전략, 기술지원, 유지보수, 정보통신·IT, 제품개발, R&D",2일 전 등록
49216882,㈜GC메디아이,IT인프라 운영/관리 담당자,"소프트웨어개발, 솔루션, SM, 네트워크관리, 방화벽, 보안관제, 정보보안",3시간 전 등록
49213558,㈜웹브라이트,AI 크리에이터 (콘텐츠 제작 부문),"광고기획, 광고제작, 온라인광고, 홍보대행, CF",8시간 전 등록
49211180,㈜플래티어,[AI CX사업부문] 데이터 엔지니어,"모바일앱개발, 빅데이터, 데이터레이크, 솔루션, ETL, 소프트웨어개발, 데이터파이프라인",11시간 전 등록
49213577,㈜웹브라이트,AI 크리에이터 (기획 부문),"광고기획, 광고제작, 온라인광고, 홍보대행, CF",8시간 전 등록
49216271,㈜소만사,엔드포인트 보안 SW 기술지원 엔지니어 채용,"네트워크보안, 보안소프트웨어, 정보보안, DLP, EDR, 정보보안, VPN, 엔드포인트, 기술지원, 정보보안",4시간 전 등록
49211339,율촌화학㈜,농심그룹 율촌화학㈜ 검수직 채용 모집,"검증, 품질보증, 검증, 품질보증, ISO",11시간 전 등록
49213626,㈜알라딘커뮤니케이션,AI 업무자동화 프로토타이핑 담당자,"자연어처리(NLP), 이미지프로세싱, 인공지능",8시간 전 등록
49210736,계양전기㈜,계양전기㈜ 2026년 2분기 경력사원 1차 채용,"전장, 펌웨어, 고객대응, 검증, 품질보증, 생산관리, 품질보증, ISO, 검증, 시스템설계, 해외마케팅, 회로설계, 서버구축, 시스템분석, 시스템운영, 정보보안, SI개발, 시스템분석, 영어, 기타외국어, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, HACCP, 서버관리, 아키텍처, 시스템설계, HACCP, 네트워크관리, 환경관리, 공정개발, ISO",6시간 전 등록
49215540,우리신용정보,[우리금융그룹 계열사]우리신용정보(주) 신입 및 경력직 채용,"종합금융, 채권, 채권추심, 경영기획, 문서작성, 통계·분석, 자료조사, 문서관리, 문서작성, 전산입력, 사이트관리, 서무, 자료조사, 행정, 송무담당, 네트워크관리, 방화벽, 보안관제, 정보보안, 거래처관리, 고객관리, 외환관리, 입출금관리, 채권, 퇴직연금, 금융상품기획, 대출심사, 채권, 투자심사",3시간 전 등록
49209891,한림대의료원(학교법인 일송학원),[한림대학교의료원] 26년도 상반기 직원 공채,"문서관리, 문서작성, 전산입력, 자료조사, 행정, 송무담당, 문서관리, 비품관리, 자산관리, 복리후생, 서무, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 4대보험, 결산, 관리회계, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, 계산서발행, 기업회계, 4대보험, 결산, 급여관리, 부가세신고, 전표입력, ERP운용, 계산서발행, 부가세신고, 세무신고, 세무기장, 세무조정, 연말정산, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 서버관리, 네트워크관리, 서버구축, 시스템운영, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 유지보수, 정보통신, 통신설비, 전기배선, 전기설비, 통신설비, 배관·케이블, 전기점검, 시설점검",12시간 전 등록
49212708,㈜에이더블유더블유(AWW),AWW에서 총무팀을 채용합니다.,"판매, 문서관리, 문서작성, 전산입력, 행정, 문서관리, 비품관리, 자산관리, 복리후생, 행정, 문서관리, 문서작성, 자산관리, 전산입력, 정보보안",9시간 전 등록
49212434,㈜바이스타일,OMS 물류시스템 개발 및 유지보수(PHP 백엔드 2명),소프트웨어개발,10시간 전 등록
49204359,㈜링네트,링네트 대전지사 네트워크 필드엔지니어 경력직,"네트웍구축, 통신, IDC, 네트워크관리, 서버구축, 시스템운영",1일 전 등록
49204317,㈜링네트,[용인 상주] 네트워크 엔지니어 정규직,"네트웍구축, 통신, IDC, 네트워크관리, 서버구축, 시스템운영",1일 전 등록
49204294,㈜링네트,부산지사 Cisco네트워크 필드엔지니어 경력직,"네트웍구축, 통신, IDC, 네트워크관리, 서버구축, 시스템운영",1일 전 등록
49204259,㈜링네트,Cisco네트워크 필드엔지니어 경력직,"네트웍구축, 시스템운영, 네트워크관리, IDC, 통신, 서버구축",1일 전 등록
49201489,㈜덴티움,의료영상 알고리즘 SW개발,"바이오, 클라이언트, 건강, 의료기기, 아키텍처, 시스템설계",1일 전 등록
49204225,㈜링네트,[용산 상주] 보안 운영 엔지니어,"방화벽, 네트웍구축, 보안관제, 정보보안, 네트워크관리",1일 전 등록
49202751,우리에프아이에스㈜,[우리FIS] 웹시스템 개발/운영(계약직) 경력 채용,"JavaScript, SQL, Tibero, Unix, Linux, json, Oracle, 인터페이스, EAI, jsp",1일 전 등록
49201140,㈜풀무원푸드앤컬처,모바일서비스운영팀 데이터 전략 및 서비스 운영 담당자 (계약직/육아휴직 대체),"메뉴개발, 메뉴기획, 식품연구, 라이센싱, 브랜딩, 시장분석, 기업홍보, 이벤트기획, 프로모션, 바이럴마케팅, 키워드광고, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, SEO, 언론홍보, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 카페·블로그관리, 프로모션, 매체관리, SNS마케팅, 시스템운영, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 고객응대",1일 전 등록
49205444,㈜에프아이솔루션,㈜에프아이솔루션 AI 개발자 채용,"소프트웨어개발, 솔루션, SI, 서버관리, 클라이언트, HTTP, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 펌웨어, SI개발, 시스템분석, 시스템설계, 아키텍처, 클라이언트, SI개발, 자연어처리(NLP), 인공지능",1일 전 등록
49207037,㈜아인스페이스,[정규직] 첨단 산업 데이터&AI 서비스 풀스택 개발자(경력),"SI개발, 서버관리, 인터페이스, 반응형웹",1일 전 등록
49203430,멜레아,시스템에어컨 CAD설계 및 견적 직원 모집,"건축설계, 기구설계, 캐드원, DVM, 시스템에어컨 cad설계, 가스설비, 시스템분석, 시스템설계, CAD설계, 제어·설계, 건축설비, 2D설계, 견적, 공조냉동",1일 전 등록
49132009,Esther Kim,대기업 호텔 지주사 내부통제 ITGC 담당 채용건,"내부감사, 호텔",05/08(금) 등록
49169073,임승환,[중견 기업 / 코스닥 상장사 ] 동아 엘텍 연구원 채용,"서치펌, 헤드헌팅, 시스템분석, 시스템설계",05/13(수) 등록
48983643,Jason,[IT 인프라 구축 전문기업] 시스템 엔지니어,"헤드헌팅, 서버구축, 시스템운영, 시스템운영, SI개발, 네트워크관리, 서버관리, 서버구축, 네트워크관리",04/14(화) 등록
49025482,안미경,"[정규직]시스템의 기술적 기반(하드웨어, 소프트웨어 플랫폼, 운영체제 등)","서치펌, 헤드헌팅, 서버구축, 시스템운영, Linux, 시스템분석, 서버관리",04/21(화) 등록
48904446,김종록,LLM 솔루션 엔지니어 (과장/책임급) 2명선발 047,SI개발,04/02(목) 등록
49177242,유창덕,스타트기업 정보보안(국제인증) 대리급 구함(굿커리어),"바이오, 방화벽, 서버구축, 시스템운영, 시스템운영, 네트워크관리, 제약, 건강, 보안관제, 생명공학, 시스템설계, 의료기기, 정보보안, 서버구축, 암호화폐, 네트워크관리, 네트워크관리",6일 전 등록
49183103,신정숙,데이터 분석 경력자 (총괄 리더)-국내 핀테크 유니콘 기업,"빅데이터, 데이터리더, 데이터총괄, 데이터레이크, 데이터시각화, ETL, BI, 투자데이터, 인터넷금융, 컨텐츠, 데이터분석, 금융데이터, 분석모델링, 핀테크데이터분석, 핀테크, 데이터파이프라인, 데이버분석총괄",5일 전 등록
49202439,주홍식,[소비재 대기업] IT총괄(DX)실장 (이사) 채용,CTO,1일 전 등록
49205207,중소벤처기업진흥공단,(주)유니스소프트 [경력]시스템 연구개발 및 웹 / 응용 SW 개발,소프트웨어개발,1일 전 등록
49203534,중소벤처기업진흥공단,오케스트로 클라우드 주식회사 오케스트로 클라우드 PMO,N/A,1일 전 등록
49202681,중소벤처기업진흥공단,(주)고른 정보보안 컨설팅 & AI 개발자 모집,"인공지능, 소프트웨어개발",1일 전 등록
49202375,중소벤처기업진흥공단,(주)티이에프 자사SW 현장설치 및 유지보수 엔지니어 채용 (신입),N/A,1일 전 등록
49202242,중소벤처기업진흥공단,(주)티이에프 기업부설연구소 연구원 모집(SW개발),N/A,1일 전 등록
49202192,중소벤처기업진흥공단,다온플레이스 주식회사 웹 개발자 채용(인터뷰 비용 지급),N/A,1일 전 등록
49197381,중소벤처기업진흥공단,(주)광성계측기 AI 데이터 수집 및 연구 지원(Research Assistant) 채용,딥러닝,2일 전 등록
49196580,㈜리눅스데이타시스템,빅데이터 솔루션 엔지니어(스플렁크) 경력채용 (경력10년이상),"빅데이터, 솔루션",2일 전 등록
49196480,㈜에스티로직,SI/솔루션 구축 Full Stack 개발자 모집,"소프트웨어개발, 솔루션, BigData",2일 전 등록
49195967,중소벤처기업진흥공단,주식회사 요망진 연구소 AI코딩을 활용한 Full-Stack 개발자 채용 공고,소프트웨어개발,2일 전 등록
49201092,㈜에이지피테크,"C# 기반 공장, 설비 자동화 전문 개발자 모집","소프트웨어개발, 솔루션, ERP, SI, 시스템분석, 시스템설계, 아키텍처, SI개발",1일 전 등록
49205476,㈜에프아이솔루션,㈜에프아이솔루션 Java 개발자 채용,"소프트웨어개발, 솔루션, SI, 서버관리, 클라이언트, HTTP, SI개발, GUI, 반응형웹, 인터페이스, SI개발, 서버구축, 시스템분석, 시스템설계, 펌웨어, 시스템분석, 시스템설계, 클라이언트, SI개발",1일 전 등록
49197194,㈜판타지오,[판타지오] 각 분야 신입 및 경력 채용,"매니지먼트, 엔터테인먼트사, 연예, 연예기획, 문화기획, 사업기획, 데이터분석, 브랜드기획, 신사업기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 문서관리, 문서작성, 행정, 결산, 관리회계, 법인결산, 재무회계, 전산회계, 전표입력, 기업회계, 결산, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 시장분석, 언론홍보, 기업홍보, 이벤트기획, 카페·블로그관리, 키워드광고, SNS마케팅, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, SEO, 영상제작, 콘텐츠기획, SNS마케팅, SEO, 언론홍보, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 시장분석, 시장조사, 통계·분석, 카페·블로그관리, 프로모션, 매체관리, SNS마케팅, 인공지능, 2D디자인, 디지털디자인, 원화디자인, CG, CI, POP, 삽화·일러스트, 디지털디자인, 정보디자인, 패키지디자인, 브랜드디자인, 삽화·일러스트, 2D디자인, 모션그래픽, CG, 영상제작, 무대디자인, 납품, 상품입출고, 외주관리, 거래선개발관리, 거래처관리, 고객관리, 특수효과, CG, 인코딩, 영상제작, 음향, 조명, 특수효과, 공연기획, 전시기획, 영상제작, 행사기획, 가수, 음향, 프로듀서, 작사·작곡",1일 전 등록
49199748,㈜티맥스소프트,"일본법인근무, 엔지니어(시니어)","BigData, 솔루션, 서버구축, 시스템운영, SI, SI개발, 시스템설계, ERP, 서버관리, 소프트웨어개발",2일 전 등록
49199633,㈜티맥스소프트,"일본, R&D/현장 개발 엔지니어(시니어)","소프트웨어개발, 솔루션, BigData, ERP, SI, 네트워크관리, 서버구축, 시스템설계, 서버관리",2일 전 등록
49199623,㈜티맥스소프트,"일본, R&D/현장 개발 엔지니어(주니어)","소프트웨어개발, 솔루션, BigData, ERP, SI, 네트워크관리, 서버구축, 시스템설계, 서버관리",2일 전 등록
49198429,한솔테크닉스㈜,S/W 개발 (태양광 마이크로 인버터),"시스템분석, LCD, SI개발, 디스플레이, 시스템설계, LED, 회로설계",2일 전 등록
49199569,㈜티맥스소프트,"일본, 마이그레이션 스페셜리스트(시니어)","소프트웨어개발, 솔루션, BigData, ERP, SI, 네트워크관리, 서버구축, 시스템설계, 서버관리",2일 전 등록
49199551,㈜티맥스소프트,"일본, 마이그레이션 스페셜리스트(주니어)","소프트웨어개발, 솔루션, BigData, ERP, SI, 네트워크관리, 서버구축, 시스템설계, 서버관리",2일 전 등록
49199676,㈜티맥스소프트,"일본법인근무, 개발자(R&D)","소프트웨어개발, 솔루션, BigData, ERP, SI, 서버관리, 클라이언트, 핀테크, HTTP, SI개발",2일 전 등록
49199734,㈜티맥스소프트,"일본법인근무, 엔지니어(주니어)","BigData, 솔루션, 서버구축, 시스템운영, SI, 시스템설계, ERP, 서버관리, 소프트웨어개발",2일 전 등록
49196745,메가스터디교육㈜,웹서비스(백엔드) 개발자,"SI개발, 서버관리, 입시학원, 클라이언트, 핀테크, HTTP",2일 전 등록
49192357,솔탑,㈜솔탑 2026년도 위성 연구소 분야 신입/경력 채용,"생산기술, 회로설계, 이동통신, 전자통신, 회로설계, 연구·실험·기술, 제품개발, 품질보증, 솔루션, 재고관리, 회로설계, 검증, 신사업기획, 전기·전자, 데이터분석, 3D설계, 제조·공정, 무선통신, 사업기획, 자동제어, 자동화라인, 문서작성, 자동제어, 제품개발, 제어·설계, 인터페이스, 전략기획, 자동화라인, 조선·항공·우주, 광통신, 정보통신, 제어·설계, 연구기획, 문서관리, 위성통신, 자재구매, 제품개발, 품질테스트, 외자구매, 회로설계, 경영기획, 생산기술, 공정개발, 기계조작, 회로설계",2일 전 등록
49192865,한국파파존스㈜,한국파파존스㈜ 안성 QCC QA 경력 사원 모집 공고,"식품, 프랜차이즈, 피자점, 패밀리레스토랑, 패스트푸드, 식품가공, 문서관리, 문서작성, 전산입력, 서무, 자료조사, 행정, 송무담당, 회계감사, 내부감사, 외부감사, 검증, 테스터, 환경, 미생물, 연구·실험·기술, 제조·공정, 생산관리, 품질보증, HACCP, ISO, 검증, 품질보증, 환경관리, HACCP, ISO",2일 전 등록
49192355,솔탑,㈜솔탑 2026년도 위성/항공/경영 분야 신입/경력 채용,"결산, 관리회계, 4대보험, 재무회계, 펌웨어, 검증, 더존, 부가세신고, 품질보증, 솔루션, 재고관리, 검증, 시스템설계, 회로설계, 자금관리, 서버구축, 시스템분석, 시스템운영, 회계감사, 세무조정, 재무분석, 재무회계, 정보보안, 구매계약, 시스템분석, 기업회계, 외부감사, 부가세신고, 재무기획, 계산서발행, 연말정산, 클라이언트, 결산, 시스템분석, 시스템설계, 세무신고, 자재구매, 펌웨어, 세무기장, 서버관리, 아키텍처, 시스템설계, 외자구매, 외환관리, 위성통신, 자재구매, 전표입력, 법인결산, 외자구매, 회계감사, 네트워크관리, 입출금관리, 전산회계, 환경관리, 원가회계, ERP운용",2일 전 등록
49192648,㈜유니디아,OA 유지보수 인력채용(경기 시흥),"A·S수리, 기술지원, 유지보수, 하드웨어, 컴퓨터, AS, 유지보수, 기술지원, 유지보수",2일 전 등록
